id,number,ЭЧТК,УКВ,Кол-во мест,Автосцепка,Переход,Постройка,Тип
453,66316931,да,да,64,СА-3,Б,2018,одноэтажный
454,48398732,нет,нет,54,БСУ,Б,2015,одноэтажный
455,73491242,да,да,40,БСУ,Х,2010,одноэтажный
456,16615722,нет,нет,44,СА-3,Б,2025,одноэтажный
457,47627490,нет,нет,72,СА-3,Б,2007,двухэтажный
458,69473299,нет,да,72,БСУ,Б,2002,двухэтажный
459,38372352,нет,да,54,БСУ,Б,2016,одноэтажный
460,18806960,да,да,40,СА-3,Х,2006,одноэтажный
461,43486016,да,да,44,СА-3,Х,2014,одноэтажный
462,95283260,нет,нет,40,БСУ,Б,2014,двухэтажный
463,73697356,да,да,40,БСУ,Б,2022,двухэтажный
464,13684342,да,да,64,СА-3,Б,2020,двухэтажный
465,37746963,да,да,36,СА-3,Б,2004,одноэтажный
466,90683906,нет,да,64,БСУ,Б,2022,одноэтажный
467,66882385,нет,нет,54,БСУ,Х,2009,одноэтажный
468,93698993,да,да,64,БСУ,Б,2019,одноэтажный
469,50060760,нет,да,44,БСУ,Б,2008,одноэтажный
470,97438349,да,да,80,СА-3,Б,2025,одноэтажный
471,90535106,да,да,40,СА-3,Б,2009,одноэтажный
472,66178935,да,нет,64,СА-3,Б,2022,двухэтажный
473,81757508,да,да,72,БСУ,Б,2005,одноэтажный
474,84926784,да,да,40,БСУ,Б,2017,одноэтажный
475,34571018,нет,нет,72,СА-3,Х,2007,одноэтажный
476,51216287,да,нет,44,БСУ,Б,2014,одноэтажный
477,73154349,да,нет,64,СА-3,Б,2006,одноэтажный
478,61226775,да,да,80,СА-3,Х,2006,одноэтажный
479,86424055,нет,нет,40,БСУ,Б,2005,одноэтажный
480,75441993,да,нет,44,СА-3,Х,2008,двухэтажный
481,32629881,да,да,80,СА-3,Х,2013,одноэтажный
482,64142556,да,да,36,СА-3,Б,2023,одноэтажный
483,11889398,нет,нет,64,СА-3,Х,2000,одноэтажный
484,43396474,да,нет,44,СА-3,Х,2016,одноэтажный
485,32417070,да,да,44,БСУ,Б,2019,одноэтажный
486,68205561,нет,нет,44,БСУ,Б,2006,двухэтажный
487,64142310,да,да,40,СА-3,Б,2018,одноэтажный
488,26530521,да,нет,36,БСУ,Б,2008,одноэтажный
489,93635734,да,нет,72,СА-3,Б,2000,двухэтажный
490,25541047,да,да,64,БСУ,Б,2004,двухэтажный
491,94598956,да,да,36,БСУ,Б,2022,двухэтажный
492,24081350,да,нет,44,СА-3,Б,2015,двухэтажный
493,36809908,нет,нет,40,БСУ,Б,2009,двухэтажный
494,83569939,да,да,54,БСУ,Х,2000,одноэтажный
495,24821786,нет,нет,40,СА-3,Б,2002,одноэтажный
496,23594977,нет,нет,54,БСУ,Х,2001,двухэтажный
497,33448079,нет,нет,44,БСУ,Б,2003,двухэтажный
498,16159129,да,да,72,СА-3,Б,2014,одноэтажный
499,46011877,нет,да,80,БСУ,Х,2012,одноэтажный
500,71275585,да,да,80,БСУ,Б,2020,одноэтажный
501,32384662,да,нет,36,СА-3,Х,2018,одноэтажный
502,86362294,нет,да,54,БСУ,Б,2021,одноэтажный
503,27536261,да,да,54,БСУ,Х,2008,одноэтажный
504,11658959,нет,нет,80,СА-3,Б,2021,одноэтажный
505,79672379,да,нет,36,БСУ,Б,2007,одноэтажный
506,99081734,нет,да,80,СА-3,Х,2005,одноэтажный
507,72986894,нет,нет,36,БСУ,Б,2010,одноэтажный
508,16757958,да,да,54,БСУ,Б,2002,одноэтажный
509,86911446,да,нет,54,БСУ,Х,2015,одноэтажный
510,12384932,да,да,64,СА-3,Б,2025,одноэтажный
511,93089652,да,нет,64,СА-3,Б,2014,одноэтажный
512,58767001,нет,нет,80,БСУ,Б,2024,одноэтажный
513,73502927,нет,да,54,СА-3,Х,2021,двухэтажный
514,55816176,да,нет,80,БСУ,Б,2011,одноэтажный
515,16144233,нет,да,80,БСУ,Х,2019,двухэтажный
516,26206227,нет,да,54,СА-3,Б,2003,одноэтажный
517,16241172,нет,нет,64,СА-3,Б,2014,одноэтажный
518,89096676,нет,да,54,СА-3,Б,2001,одноэтажный
519,68090825,нет,да,64,СА-3,Б,2005,одноэтажный
520,27231111,да,нет,64,БСУ,Б,2012,одноэтажный
521,91737749,нет,нет,44,БСУ,Б,2009,одноэтажный
522,27900864,да,нет,72,БСУ,Б,2017,одноэтажный
523,84300459,да,да,64,БСУ,Б,2021,двухэтажный
524,97253117,нет,да,64,БСУ,Б,2024,одноэтажный
525,74474159,да,нет,72,БСУ,Б,2017,одноэтажный
526,66691738,нет,да,36,БСУ,Х,2021,двухэтажный
527,45833216,нет,да,44,БСУ,Х,2001,одноэтажный
528,49613096,да,да,44,БСУ,Х,2021,одноэтажный
529,40106027,нет,да,40,БСУ,Б,2001,одноэтажный
530,62016704,да,нет,72,БСУ,Б,2001,двухэтажный
531,43734435,да,нет,80,БСУ,Б,2020,одноэтажный
532,96923747,да,да,72,СА-3,Б,2006,одноэтажный
533,33813700,нет,да,40,СА-3,Б,2013,одноэтажный
534,45465638,да,да,44,СА-3,Б,2022,одноэтажный
535,15360735,да,да,36,БСУ,Б,2018,одноэтажный
536,19781894,нет,да,40,СА-3,Б,2025,одноэтажный
537,65825346,да,да,44,СА-3,Б,2021,одноэтажный
538,58425464,да,нет,64,БСУ,Б,2024,одноэтажный
539,11181612,да,да,40,СА-3,Б,2021,одноэтажный
540,61186964,нет,нет,54,БСУ,Б,2009,двухэтажный
541,79372824,нет,да,80,БСУ,Б,2009,одноэтажный
542,35838575,да,да,36,СА-3,Б,2024,одноэтажный
543,10983894,да,да,72,СА-3,Б,2013,одноэтажный
544,37592422,да,нет,72,БСУ,Б,2002,одноэтажный
545,30636590,да,нет,36,СА-3,Х,2005,одноэтажный
546,84904794,да,нет,44,БСУ,Б,2020,одноэтажный
547,52467059,да,нет,64,СА-3,Б,2019,двухэтажный
548,88598977,да,нет,44,СА-3,Х,2021,одноэтажный
549,21610534,да,нет,54,БСУ,Б,2000,одноэтажный
550,81600831,да,нет,80,БСУ,Б,2004,одноэтажный
551,96965116,да,нет,64,СА-3,Х,2000,одноэтажный
552,62892750,да,нет,44,СА-3,Б,2023,одноэтажный
553,65385548,нет,нет,40,СА-3,Х,2019,одноэтажный
554,36082023,да,нет,64,СА-3,Б,2017,одноэтажный
555,83774735,да,нет,44,СА-3,Х,2018,одноэтажный
556,54406060,да,нет,40,СА-3,Х,2002,одноэтажный
557,52652506,да,да,72,БСУ,Б,2004,одноэтажный
558,58921480,нет,нет,40,СА-3,Б,2025,двухэтажный
559,96011893,да,нет,40,БСУ,Б,2014,одноэтажный
560,50999730,да,да,72,СА-3,Б,2004,одноэтажный
561,36364647,да,нет,36,СА-3,Б,2016,одноэтажный
562,88100019,да,нет,40,СА-3,Б,2017,одноэтажный
563,82434236,да,нет,44,БСУ,Х,2024,одноэтажный
564,49057246,да,да,36,БСУ,Б,2000,одноэтажный
565,92414513,нет,нет,40,БСУ,Х,2018,одноэтажный
566,98504955,нет,да,72,БСУ,Б,2001,двухэтажный
567,75450221,да,да,40,СА-3,Б,2016,одноэтажный
568,58486337,да,нет,36,СА-3,Б,2010,двухэтажный
569,79977486,да,да,72,БСУ,Б,2018,двухэтажный
570,97734815,да,да,80,СА-3,Б,2012,одноэтажный
571,39917031,да,да,80,БСУ,Б,2015,одноэтажный
572,10885526,да,да,40,СА-3,Х,2020,одноэтажный
573,30164926,да,да,72,СА-3,Б,2013,одноэтажный
574,25212062,да,да,40,СА-3,Б,2013,двухэтажный
575,15790734,да,да,40,СА-3,Б,2004,двухэтажный
576,44663022,нет,да,54,СА-3,Б,2023,одноэтажный
577,48044635,нет,да,64,БСУ,Б,2005,двухэтажный
578,65132193,да,нет,80,СА-3,Б,2016,одноэтажный
579,55992559,нет,да,36,СА-3,Б,2004,двухэтажный
580,37158762,да,нет,72,БСУ,Б,2019,двухэтажный
581,73870080,нет,да,80,СА-3,Х,2021,двухэтажный
582,90996996,да,да,80,БСУ,Б,2011,одноэтажный
583,81110769,да,нет,54,БСУ,Б,2025,одноэтажный
584,87325627,да,да,54,СА-3,Б,2002,одноэтажный
585,82978342,да,да,72,СА-3,Б,2003,одноэтажный
586,60335658,нет,нет,44,БСУ,Б,2004,одноэтажный
587,88567056,да,нет,54,БСУ,Б,2021,одноэтажный
588,37339300,да,нет,54,СА-3,Б,2017,одноэтажный
589,51158280,да,нет,54,СА-3,Б,2021,двухэтажный
590,40839382,да,нет,40,СА-3,Х,2012,одноэтажный
591,83897088,да,нет,36,СА-3,Б,2020,двухэтажный
592,22225702,нет,да,64,БСУ,Х,2008,двухэтажный
593,20742751,да,нет,54,БСУ,Б,2019,двухэтажный
594,33524492,да,да,40,БСУ,Х,2025,одноэтажный
595,79231333,нет,нет,72,СА-3,Б,2020,двухэтажный
596,31131878,да,да,54,БСУ,Б,2012,одноэтажный
597,79490249,да,нет,36,БСУ,Б,2017,одноэтажный
598,56720553,да,нет,40,СА-3,Б,2012,одноэтажный
599,45045256,да,да,64,СА-3,Б,2010,одноэтажный
600,78892172,нет,нет,80,БСУ,Б,2012,одноэтажный
601,42651583,нет,нет,54,БСУ,Б,2000,одноэтажный
602,44603983,да,нет,40,СА-3,Б,2013,одноэтажный
603,79324022,да,нет,44,СА-3,Х,2012,одноэтажный
604,55901507,да,нет,54,БСУ,Б,2018,одноэтажный
605,35523849,да,да,72,СА-3,Б,2006,двухэтажный
606,43513553,нет,да,80,СА-3,Х,2002,одноэтажный
607,99043272,да,да,80,СА-3,Б,2011,одноэтажный
608,76080806,нет,нет,64,БСУ,Б,2024,одноэтажный
609,47616749,да,нет,40,СА-3,Б,2013,одноэтажный
610,82580645,да,да,80,СА-3,Б,2003,одноэтажный
611,71749629,да,да,72,СА-3,Б,2003,одноэтажный
612,92245683,нет,да,44,СА-3,Х,2019,одноэтажный
613,34684475,да,да,72,БСУ,Б,2012,одноэтажный
614,34144323,да,нет,72,СА-3,Б,2023,одноэтажный
615,41649234,да,нет,40,СА-3,Б,2023,двухэтажный
616,11307588,да,да,80,БСУ,Б,2009,одноэтажный
617,86213459,да,да,40,СА-3,Х,2008,одноэтажный
618,94538675,да,нет,44,БСУ,Б,2017,одноэтажный
619,44589898,да,да,44,СА-3,Б,2020,одноэтажный
620,33426205,нет,да,44,БСУ,Б,2014,одноэтажный
621,61146483,да,да,40,СА-3,Б,2010,одноэтажный
622,92182875,да,нет,36,СА-3,Х,2007,одноэтажный
623,97645934,да,да,72,БСУ,Х,2014,одноэтажный
624,58743159,нет,да,54,БСУ,Х,2000,двухэтажный
625,41491128,нет,нет,72,СА-3,Х,2012,двухэтажный
626,18562070,нет,да,36,СА-3,Б,2016,одноэтажный
627,21173787,да,нет,36,БСУ,Б,2007,одноэтажный
628,69479985,да,да,80,СА-3,Х,2021,одноэтажный
629,53647781,нет,да,80,БСУ,Б,2004,одноэтажный
630,82381952,да,да,72,БСУ,Б,2020,одноэтажный
631,56596140,да,да,36,БСУ,Б,2013,одноэтажный
632,50744867,да,да,80,СА-3,Б,2015,одноэтажный
633,76025948,нет,да,36,БСУ,Б,2019,двухэтажный
634,10968781,да,да,64,БСУ,Б,2005,одноэтажный
635,96703417,да,да,44,СА-3,Б,2007,одноэтажный
636,92304487,нет,нет,44,БСУ,Б,2002,двухэтажный
637,48868823,да,да,54,БСУ,Б,2015,двухэтажный
638,12603206,да,нет,36,СА-3,Б,2009,одноэтажный
639,68843284,нет,да,40,СА-3,Б,2010,одноэтажный
640,76893545,нет,да,80,СА-3,Б,2024,одноэтажный
641,17521339,да,да,64,БСУ,Х,2008,одноэтажный
642,11693222,да,нет,40,БСУ,Б,2014,двухэтажный
643,14497675,да,нет,36,СА-3,Б,2021,одноэтажный
644,53360807,да,нет,72,СА-3,Х,2020,одноэтажный
645,58375646,нет,нет,40,СА-3,Х,2013,одноэтажный
646,32462726,нет,да,54,СА-3,Х,2001,одноэтажный
647,73789750,нет,да,80,СА-3,Х,2015,двухэтажный
648,93033107,да,нет,80,СА-3,Х,2020,двухэтажный
649,81988124,нет,да,40,БСУ,Б,2025,одноэтажный
650,56616197,нет,да,40,СА-3,Б,2011,одноэтажный
651,43647879,нет,да,54,БСУ,Б,2015,двухэтажный
652,35048615,да,да,54,БСУ,Б,2019,одноэтажный
653,84426456,да,да,54,БСУ,Б,2017,одноэтажный
654,10096613,нет,да,72,СА-3,Б,2019,одноэтажный
655,93241474,да,нет,72,БСУ,Х,2021,одноэтажный
656,84016756,да,да,54,БСУ,Х,2016,одноэтажный
657,15875684,нет,да,80,СА-3,Х,2015,двухэтажный
658,14270425,да,нет,72,БСУ,Б,2022,одноэтажный
659,16588161,да,нет,36,СА-3,Б,2006,одноэтажный
660,20731620,да,нет,44,БСУ,Б,2025,одноэтажный
661,92803389,да,да,36,БСУ,Х,2006,одноэтажный
662,23035125,да,да,54,СА-3,Х,2021,двухэтажный
663,93929707,нет,да,64,БСУ,Б,2024,одноэтажный
664,58045029,нет,нет,54,СА-3,Х,2005,одноэтажный
665,77738718,да,да,64,БСУ,Б,2010,одноэтажный
666,53574336,нет,да,72,БСУ,Б,2010,одноэтажный
667,85584002,да,да,64,БСУ,Б,2014,одноэтажный
668,63296593,да,да,44,СА-3,Б,2009,двухэтажный
669,39781129,да,да,80,БСУ,Б,2016,одноэтажный
670,86720441,да,да,44,СА-3,Х,2011,одноэтажный
671,43535226,да,нет,36,БСУ,Б,2006,одноэтажный
672,53579429,нет,да,80,СА-3,Б,2009,двухэтажный
673,87347488,да,нет,80,БСУ,Б,2013,одноэтажный
674,26178675,нет,да,72,СА-3,Б,2020,одноэтажный
675,50907334,да,да,64,СА-3,Б,2022,двухэтажный
676,16780654,нет,нет,54,СА-3,Х,2009,одноэтажный
677,29865888,да,да,64,СА-3,Б,2008,двухэтажный
678,77353558,да,нет,80,СА-3,Б,2006,одноэтажный
679,97543303,да,да,72,СА-3,Х,2008,одноэтажный
680,53407575,нет,да,36,БСУ,Б,2011,двухэтажный
681,56241350,да,да,44,СА-3,Б,2019,одноэтажный
682,69352435,да,да,80,СА-3,Х,2011,двухэтажный
683,21517819,да,да,64,СА-3,Б,2009,двухэтажный
684,24935479,да,да,44,СА-3,Б,2006,двухэтажный
685,80231557,нет,да,64,СА-3,Б,2021,двухэтажный
686,88249598,нет,да,44,СА-3,Х,2006,одноэтажный
687,92941828,да,да,36,СА-3,Б,2008,одноэтажный
688,98597172,да,да,44,БСУ,Х,2012,одноэтажный
689,23368583,нет,да,64,СА-3,Х,2016,одноэтажный
690,85254207,нет,да,40,БСУ,Б,2012,одноэтажный
691,12465878,да,да,72,БСУ,Х,2016,одноэтажный
692,18322800,да,нет,80,СА-3,Б,2008,двухэтажный
693,55873760,нет,нет,36,БСУ,Б,2021,одноэтажный
694,93956490,нет,да,64,СА-3,Б,2009,одноэтажный
695,54195849,да,да,72,СА-3,Б,2021,одноэтажный
696,28536762,да,нет,64,СА-3,Б,2024,двухэтажный
697,85812116,нет,да,64,СА-3,Х,2004,одноэтажный
698,52773504,нет,да,54,БСУ,Б,2020,одноэтажный
699,46748299,да,да,40,СА-3,Х,2019,одноэтажный
700,91282861,да,да,40,СА-3,Б,2011,двухэтажный
701,73968467,да,нет,54,БСУ,Х,2012,одноэтажный
702,28456645,да,да,54,СА-3,Б,2013,двухэтажный
703,37223861,нет,да,54,БСУ,Б,2014,одноэтажный
704,67385552,да,да,72,БСУ,Б,2012,одноэтажный
705,86763742,да,да,72,СА-3,Б,2014,одноэтажный
706,15692967,нет,да,64,БСУ,Б,2001,одноэтажный
707,79273350,нет,нет,40,БСУ,Б,2009,одноэтажный
708,48374806,да,да,64,СА-3,Б,2004,одноэтажный
709,96718276,да,нет,36,СА-3,Б,2022,одноэтажный
710,62756521,да,да,40,БСУ,Б,2022,одноэтажный
711,71026547,да,да,72,СА-3,Б,2003,двухэтажный
712,70317234,да,да,72,БСУ,Б,2016,одноэтажный
713,31461370,да,да,80,СА-3,Б,2018,одноэтажный
714,30144703,да,да,80,СА-3,Б,2009,одноэтажный
715,69895766,да,да,40,СА-3,Х,2024,одноэтажный
716,71557975,да,да,80,СА-3,Б,2015,двухэтажный
717,89035763,нет,да,54,СА-3,Б,2000,двухэтажный
718,83462947,да,нет,80,СА-3,Х,2004,двухэтажный
719,56844649,да,нет,72,БСУ,Б,2002,двухэтажный
720,65963010,нет,да,44,СА-3,Б,2023,одноэтажный
721,14810369,да,да,44,БСУ,Б,2024,одноэтажный
722,83882978,да,да,36,БСУ,Б,2013,одноэтажный
723,38058347,да,да,72,СА-3,Б,2022,одноэтажный
724,48545627,да,нет,44,БСУ,Б,2019,одноэтажный
725,79753731,нет,да,80,СА-3,Б,2007,одноэтажный
726,35978571,да,да,72,СА-3,Б,2006,одноэтажный
727,65650977,да,да,64,СА-3,Х,2006,одноэтажный
728,44147341,нет,да,64,БСУ,Б,2003,одноэтажный
729,55816776,да,да,36,СА-3,Х,2010,одноэтажный
730,74304823,нет,нет,72,СА-3,Б,2020,одноэтажный
731,82070563,нет,да,80,БСУ,Б,2001,одноэтажный
732,50177237,да,нет,64,СА-3,Х,2021,одноэтажный
733,57458790,да,да,80,СА-3,Б,2012,одноэтажный
734,32276047,да,да,64,СА-3,Б,2024,одноэтажный
735,52211394,нет,да,36,БСУ,Б,2011,одноэтажный
736,50618137,да,да,36,БСУ,Б,2024,двухэтажный
737,22429114,да,да,54,СА-3,Х,2015,одноэтажный
738,80280155,да,да,80,СА-3,Б,2016,одноэтажный
739,27812995,да,да,54,СА-3,Х,2001,одноэтажный
740,89763928,нет,да,36,СА-3,Б,2021,одноэтажный
741,13017249,да,да,40,БСУ,Х,2009,одноэтажный
742,52835559,нет,нет,44,СА-3,Х,2003,двухэтажный
743,93610257,да,да,64,БСУ,Б,2008,двухэтажный
744,48019546,да,да,44,БСУ,Б,2001,двухэтажный
745,73181059,нет,да,54,СА-3,Х,2012,двухэтажный
746,90010054,нет,нет,72,БСУ,Б,2009,одноэтажный
747,36594858,нет,нет,64,СА-3,Б,2024,одноэтажный
748,86207390,да,нет,72,БСУ,Х,2009,одноэтажный
749,72464469,да,нет,40,БСУ,Б,2012,двухэтажный
750,99279031,да,нет,44,БСУ,Б,2002,одноэтажный
751,57169588,да,нет,44,БСУ,Б,2004,одноэтажный
752,64450250,нет,нет,44,СА-3,Б,2017,одноэтажный
753,89260394,да,нет,64,СА-3,Б,2012,двухэтажный
754,37949250,нет,да,80,БСУ,Б,2010,одноэтажный
755,41696096,да,нет,72,БСУ,Х,2019,одноэтажный
756,84502610,да,да,44,БСУ,Х,2003,одноэтажный
757,90048179,нет,да,54,СА-3,Х,2004,одноэтажный
758,95380301,нет,нет,72,СА-3,Б,2009,одноэтажный
759,87568641,да,да,44,БСУ,Б,2021,одноэтажный
760,68348074,нет,нет,36,СА-3,Б,2016,одноэтажный
761,27120235,нет,да,64,СА-3,Х,2017,одноэтажный
762,58216998,да,да,36,СА-3,Б,2018,одноэтажный
763,52698324,нет,да,54,СА-3,Б,2015,двухэтажный
764,84547422,да,нет,80,БСУ,Х,2021,двухэтажный
765,11557295,да,да,72,БСУ,Б,2004,двухэтажный
766,96200382,нет,нет,80,БСУ,Б,2014,одноэтажный
767,84094900,нет,да,40,СА-3,Б,2000,одноэтажный
768,41776042,нет,да,64,БСУ,Х,2001,одноэтажный
769,59469782,да,да,72,СА-3,Х,2023,одноэтажный
770,47503167,да,да,64,СА-3,Х,2020,одноэтажный
771,99753695,да,нет,80,БСУ,Б,2010,одноэтажный
772,11447323,да,да,54,БСУ,Б,2025,одноэтажный
773,32482565,да,нет,72,БСУ,Б,2018,одноэтажный
774,94463223,да,да,36,БСУ,Б,2019,двухэтажный
775,75063411,да,да,80,БСУ,Х,2019,одноэтажный
776,44488013,да,да,40,СА-3,Б,2011,одноэтажный
777,45064728,нет,да,40,СА-3,Б,2002,одноэтажный
778,89932574,нет,да,54,БСУ,Б,2007,одноэтажный
779,95573823,да,да,80,БСУ,Х,2008,одноэтажный
780,25568500,да,да,54,БСУ,Б,2024,одноэтажный
781,41361490,да,нет,54,БСУ,Х,2013,двухэтажный
782,70239684,да,да,64,СА-3,Х,2017,одноэтажный
783,67953319,да,нет,44,БСУ,Х,2025,двухэтажный
784,97824468,да,да,72,СА-3,Б,2018,одноэтажный
785,79786819,да,нет,40,БСУ,Б,2021,двухэтажный
786,19120357,да,да,36,БСУ,Б,2023,одноэтажный
787,35914696,да,нет,36,СА-3,Б,2020,двухэтажный
788,26103055,да,нет,54,СА-3,Б,2022,двухэтажный
789,49536330,да,нет,72,БСУ,Б,2008,одноэтажный
790,99600963,нет,да,40,СА-3,Х,2001,одноэтажный
791,54648162,нет,да,80,БСУ,Х,2002,одноэтажный
792,36933352,да,да,54,СА-3,Х,2024,одноэтажный
793,92405160,да,нет,72,БСУ,Х,2002,двухэтажный
794,43634472,нет,да,54,СА-3,Б,2000,одноэтажный
795,99201885,да,да,44,БСУ,Б,2016,одноэтажный
796,75857881,да,да,72,СА-3,Б,2000,одноэтажный
797,74701849,да,да,44,БСУ,Б,2012,двухэтажный
798,96848857,да,да,44,СА-3,Б,2024,одноэтажный
799,96945247,да,да,54,СА-3,Х,2012,одноэтажный
800,94639988,нет,да,72,БСУ,Б,2004,двухэтажный
801,13404379,нет,да,54,БСУ,Х,2017,одноэтажный
802,77066471,да,нет,54,СА-3,Х,2001,одноэтажный
803,15746469,да,да,72,БСУ,Б,2017,двухэтажный
804,87758465,да,да,72,СА-3,Б,2000,одноэтажный
805,92996496,да,нет,40,СА-3,Х,2001,одноэтажный
806,23058343,да,да,64,СА-3,Б,2003,двухэтажный
807,89856515,нет,да,80,СА-3,Б,2025,одноэтажный
808,63956682,да,нет,64,СА-3,Б,2025,двухэтажный
809,16118522,да,да,36,БСУ,Х,2013,двухэтажный
810,59650807,да,да,64,СА-3,Х,2025,одноэтажный
811,92200507,да,да,54,СА-3,Х,2005,одноэтажный
812,97477181,да,да,72,БСУ,Б,2006,двухэтажный
813,46366259,да,да,40,СА-3,Б,2022,одноэтажный
814,21814004,да,нет,44,БСУ,Х,2007,двухэтажный
815,81162107,нет,нет,80,СА-3,Б,2020,одноэтажный
816,47101348,да,да,40,БСУ,Б,2005,одноэтажный
817,15786878,да,да,40,БСУ,Х,2019,одноэтажный
818,70820445,да,нет,64,СА-3,Х,2000,одноэтажный
819,25577992,да,да,54,БСУ,Б,2023,одноэтажный
820,53712695,да,да,40,СА-3,Х,2013,одноэтажный
821,60403103,нет,да,64,БСУ,Х,2013,двухэтажный
822,91796786,да,да,40,БСУ,Б,2020,одноэтажный
823,46197787,да,да,72,СА-3,Х,2003,одноэтажный
824,71549421,да,нет,40,БСУ,Б,2025,одноэтажный
825,92077910,нет,да,64,СА-3,Х,2016,одноэтажный
826,39050434,да,нет,44,СА-3,Б,2023,одноэтажный
827,43263373,да,да,64,СА-3,Б,2000,одноэтажный
828,15935671,да,да,80,СА-3,Б,2012,одноэтажный
829,23153230,да,да,64,СА-3,Б,2013,одноэтажный
830,27812303,да,да,36,СА-3,Б,2009,двухэтажный
831,71643898,нет,нет,36,БСУ,Б,2004,одноэтажный
832,64406548,да,нет,72,БСУ,Б,2000,одноэтажный
833,19489004,да,нет,64,СА-3,Х,2024,одноэтажный
834,92208524,да,нет,80,СА-3,Б,2010,одноэтажный
835,17356698,да,нет,44,СА-3,Х,2011,одноэтажный
836,15486060,да,да,64,СА-3,Б,2024,двухэтажный
837,54953500,да,да,54,СА-3,Б,2024,двухэтажный
838,57340158,нет,да,54,БСУ,Х,2011,одноэтажный
839,75260270,да,нет,54,БСУ,Б,2011,одноэтажный
840,18808386,да,нет,36,СА-3,Б,2005,одноэтажный
841,20327693,да,да,72,СА-3,Б,2006,одноэтажный
842,94191586,да,да,72,СА-3,Б,2013,одноэтажный
843,96528081,да,да,36,СА-3,Б,2016,одноэтажный
844,65256328,да,нет,80,БСУ,Б,2021,одноэтажный
845,83614224,да,да,40,БСУ,Х,2008,двухэтажный
846,59915883,нет,нет,36,СА-3,Б,2014,одноэтажный
847,93031143,нет,нет,44,СА-3,Б,2022,одноэтажный
848,99436783,нет,да,36,СА-3,Б,2018,двухэтажный
849,44951262,да,да,72,СА-3,Б,2011,двухэтажный
850,70187134,да,да,44,СА-3,Б,2012,одноэтажный
851,29513094,нет,нет,40,СА-3,Б,2017,одноэтажный
852,54463735,да,да,44,СА-3,Б,2023,одноэтажный
853,69338400,да,да,54,СА-3,Х,2017,двухэтажный
854,13328008,да,нет,54,БСУ,Х,2001,одноэтажный
855,36192555,да,да,80,БСУ,Х,2002,одноэтажный
856,69788371,нет,нет,64,БСУ,Х,2010,одноэтажный
857,78659862,нет,нет,44,БСУ,Х,2013,одноэтажный
858,60040550,да,да,44,БСУ,Б,2002,двухэтажный
859,69622247,нет,да,54,БСУ,Х,2023,одноэтажный
860,66885794,нет,да,80,СА-3,Х,2009,одноэтажный
861,80504712,нет,да,64,БСУ,Х,2013,одноэтажный
862,46685578,да,да,72,СА-3,Х,2012,одноэтажный
863,75845287,да,нет,80,БСУ,Б,2023,одноэтажный
864,13602405,нет,да,44,БСУ,Х,2021,одноэтажный
865,65989834,да,нет,72,СА-3,Х,2024,одноэтажный
866,18955654,да,да,54,БСУ,Б,2020,одноэтажный
867,26050250,да,нет,36,БСУ,Х,2001,двухэтажный
868,71880273,нет,да,40,СА-3,Х,2013,одноэтажный
869,57779407,да,да,72,СА-3,Б,2024,одноэтажный
870,22684736,да,да,44,БСУ,Б,2021,одноэтажный
871,46434606,нет,нет,36,БСУ,Б,2000,двухэтажный
872,47771252,да,да,44,СА-3,Х,2004,одноэтажный
873,35288872,нет,да,72,СА-3,Б,2002,двухэтажный
874,27613681,нет,да,44,БСУ,Х,2014,одноэтажный
875,90215042,да,нет,40,БСУ,Х,2003,двухэтажный
876,29107146,нет,да,40,СА-3,Б,2013,одноэтажный
877,24995099,да,нет,80,БСУ,Х,2003,двухэтажный
878,98555359,да,да,36,БСУ,Х,2009,одноэтажный
879,22952493,нет,нет,40,СА-3,Х,2011,двухэтажный
880,29536326,нет,нет,64,БСУ,Б,2016,одноэтажный
881,92269619,да,да,36,СА-3,Б,2022,двухэтажный
882,47830178,да,нет,36,СА-3,Б,2016,одноэтажный
883,73715236,да,да,54,СА-3,Х,2011,одноэтажный
884,66920644,да,да,36,БСУ,Х,2003,одноэтажный
885,76547299,нет,нет,64,СА-3,Х,2015,двухэтажный
886,48065683,да,нет,72,БСУ,Х,2013,одноэтажный
887,67440042,да,да,80,БСУ,Б,2011,двухэтажный
888,75987927,нет,да,64,СА-3,Х,2012,одноэтажный
889,89263249,нет,нет,40,СА-3,Б,2006,одноэтажный
890,89854290,нет,да,40,БСУ,Б,2008,одноэтажный
891,88103795,да,нет,80,БСУ,Б,2021,одноэтажный
892,64283500,нет,да,40,БСУ,Х,2008,одноэтажный
893,40980376,да,да,36,СА-3,Б,2015,одноэтажный
894,34037816,да,нет,40,БСУ,Б,2003,одноэтажный
895,98728736,нет,нет,80,БСУ,Х,2021,одноэтажный
896,77752405,да,да,80,СА-3,Б,2001,одноэтажный
897,25989909,да,да,54,БСУ,Б,2001,двухэтажный
898,98504649,нет,да,72,СА-3,Б,2004,одноэтажный
899,62221499,да,да,72,БСУ,Б,2021,одноэтажный
900,73057955,да,нет,64,СА-3,Б,2015,одноэтажный
901,60707149,да,да,44,БСУ,Х,2018,двухэтажный
902,59178730,да,нет,36,БСУ,Б,2013,одноэтажный
903,57964863,да,да,40,СА-3,Х,2009,одноэтажный
904,18791292,нет,да,40,СА-3,Б,2001,одноэтажный
905,66703371,да,нет,44,СА-3,Б,2018,двухэтажный
906,52481834,да,да,64,СА-3,Б,2003,одноэтажный
